Income (Median family income) for Tennessee by County
"All Races (includes Hispanic/Latino), Both Sexes, All Ages, 2019-2023"
Sorted by Value

County,FIPS,Value (Dollars),Rank within US (of 3139 counties)
"Tennessee",47000,"84,212","42 of 52"
"United States",00000,"96,922","N/A"
"Lake County",47095,"39,522","3,127"
"Hancock County",47067,"48,165","3,092"
"Grundy County",47061,"52,772","3,029"
"Scott County",47151,"53,423","3,022"
"Cocke County",47029,"54,527","3,001"
"Hardin County",47071,"56,576","2,963"
"Fentress County",47049,"57,083","2,947"
"Jackson County",47087,"59,234","2,887"
"Lauderdale County",47097,"59,853","2,867"
"Bledsoe County",47007,"59,891","2,866"
"Haywood County",47075,"60,900","2,826"
"Perry County",47135,"61,712","2,783"
"Clay County",47027,"61,757","2,778"
"Sequatchie County",47153,"62,179","2,754"
"Decatur County",47039,"62,181","2,753"
"Pickett County",47137,"62,788","2,731"
"Unicoi County",47171,"63,258","2,707"
"Claiborne County",47025,"63,456","2,697"
"Carter County",47019,"63,514","2,691"
"Rhea County",47143,"63,537","2,690"
"DeKalb County",47041,"63,622","2,687"
"McNairy County",47109,"63,921","2,670"
"Warren County",47177,"64,962","2,620"
"Henry County",47079,"65,316","2,604"
"Weakley County",47183,"66,024","2,572"
"Grainger County",47057,"66,264","2,565"
"Hawkins County",47073,"66,632","2,549"
"Johnson County",47091,"66,747","2,544"
"Hickman County",47081,"67,158","2,514"
"Campbell County",47013,"67,252","2,506"
"Dyer County",47045,"67,403","2,497"
"Marion County",47115,"67,433","2,496"
"Obion County",47131,"67,717","2,480"
"Lawrence County",47099,"67,842","2,476"
"Hardeman County",47069,"67,892","2,475"
"White County",47185,"68,157","2,455"
"Benton County",47005,"68,196","2,451"
"Overton County",47133,"68,565","2,432"
"Chester County",47023,"68,614","2,426"
"Wayne County",47181,"68,812","2,418"
"Van Buren County",47175,"69,262","2,399"
"Cumberland County",47035,"69,744","2,375"
"Hamblen County",47063,"70,052","2,354"
"Lewis County",47101,"70,610","2,326"
"Coffee County",47031,"70,731","2,314"
"Union County",47173,"71,211","2,272"
"Gibson County",47053,"71,228","2,270"
"Greene County",47059,"71,662","2,233"
"Houston County",47083,"71,667","2,232"
"Henderson County",47077,"71,775","2,223"
"Macon County",47111,"71,834","2,218"
"McMinn County",47107,"71,974","2,208"
"Meigs County",47121,"72,191","2,197"
"Bedford County",47003,"72,660","2,158"
"Carroll County",47017,"73,122","2,128"
"Cannon County",47015,"73,441","2,107"
"Monroe County",47123,"73,828","2,072"
"Crockett County",47033,"73,958","2,057"
"Morgan County",47129,"73,988","2,056"
"Putnam County",47141,"74,175","2,040"
"Sullivan County",47163,"74,563","2,020"
"Humphreys County",47085,"75,629","1,944"
"Madison County",47113,"75,841","1,928"
"Franklin County",47051,"76,785","1,852"
"Polk County",47139,"77,435","1,791"
"Jefferson County",47089,"77,799","1,765"
"Sevier County",47155,"77,896","1,754"
"Lincoln County",47103,"78,186","1,730"
"Smith County",47159,"78,868","1,676"
"Bradley County",47011,"79,394","1,633"
"Shelby County",47157,"80,849","1,538"
"Washington County",47179,"82,020","1,448"
"Stewart County",47161,"82,226","1,432"
"Giles County",47055,"82,604","1,400"
"Trousdale County",47169,"82,866","1,379"
"Anderson County",47001,"83,282","1,342"
"Moore County",47127,"83,590","1,324"
"Roane County",47145,"84,015","1,289"
"Dickson County",47043,"84,186","1,279"
"Tipton County",47167,"84,489","1,256"
"Montgomery County",47125,"86,662","1,093"
"Marshall County",47117,"88,053","1,025"
"Maury County",47119,"88,563","986"
"Blount County",47009,"90,224","894"
"Robertson County",47147,"90,630","872"
"Loudon County",47105,"93,337","745"
"Knox County",47093,"94,921","671"
"Cheatham County",47021,"95,330","651"
"Hamilton County",47065,"95,586","634"
"Davidson County",47037,"96,175","610"
"Rutherford County",47149,"96,860","578"
"Fayette County",47047,"101,049","444"
"Sumner County",47165,"103,326","374"
"Wilson County",47189,"109,979","260"
"Williamson County",47187,"153,397","28"

Suggested Citation:
HDPulse: An Ecosystem of Minority Health and Health Disparities Resources. National Institute on Minority Health and Health Disparities. Created 1/13/2026. Available from https://hdpulse.nimhd.nih.gov

Notes:
"NA: Data not available [http://hdpulse.nimhd.nih.gov/data/datanotavailable.html] for this combination of geography, cancer site, age, and race/ethnicity."
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Income (Median family income), see the dictionary at http://hdpulse.nimhd.nih.gov/dictionary.php#income."
"Median Incomes over 250,000 have been coded to 250,001 by the Census Bureau. [ http://www2.census.gov/acs2012_5yr/summaryfile/ACS_2008-2012_SF_Tech_Doc.pdf ]"
